"REF_DATE","GEO","DGUID","School board revenues by direct source of funds","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","34936172","","","","0"
"2011","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","36829019","","","","0"
"2012","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","39165131","","","","0"
"2013","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","38900842","","","","0"
"2014","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","39497757","","","","0"
"2015","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","40283201","","","","0"
"2016","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","41304904","","","","0"
"2017","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","44256815","","","","0"
"2018","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","46236784","","","","0"
"2019","Canada","2016A000011124","Provincial government sources","Dollars","81","thousands","3","v1025845","1.2","46741595","","","","0"
"1990","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","207216","","","","0"
"1991","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","205894","","","","0"
"1992","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","191715","","","","0"
"1993","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","199378","","","","0"
"1994","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","202767","","","","0"
"1995","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","216447","","","","0"
"1996","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","187937","","","","0"
"1997","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","188632","","","","0"
"1998","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","200726","","","","0"
"1999","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","221211","","","","0"
"2000","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","223486","","","","0"
"2001","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","232579","","","","0"
"2002","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","228213","","","","0"
"2003","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","241820","","","","0"
"2004","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","249727","","","","0"
"2005","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","266626","","","","0"
"2006","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","278908","","","","0"
"2007","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","276717","","","","0"
"2008","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","289013","","","","0"
"2009","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","308786","","","","0"
"2010","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","314175","","","","0"
"2011","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","309646","","","","0"
"2012","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","351802","","","","0"
"2013","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","345029","","","","0"
"2014","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","360237","","","","0"
"2015","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","350304","","","","0"
"2016","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","360815","","","","0"
"2017","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","381300","","","","0"
"2018","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","367283","","","","0"
"2019","Canada","2016A000011124","Federal government sources","Dollars","81","thousands","3","v1025846","1.3","379933","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","538313","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","556219","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","571900","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","556669","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","535892","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","535144","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","526386","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","506958","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","487946","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","481969","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","483646","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","497051","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","518763","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","542197","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","552944","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","552274","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","564001","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","595358","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","650821","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","716384","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","757183","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","762019","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","825869","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","827421","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","842316","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","868702","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","826633","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","840842","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","841591","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total revenues","Dollars","81","thousands","3","v1025855","2.6","1056706","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","498524","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","515481","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","542608","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","544442","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","522281","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","521058","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","510460","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","493281","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","477345","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","470646","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","474484","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","487654","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","508876","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","529850","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","542269","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","542423","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","554430","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","580820","","","","0"
